"Ticket ID","Subject","Full_Ticket_Text","Issue Type","Assigned Team","Severity"
126,"Printer scanner function not working","The network printer (ColorLaser-01) can print but the scanning function fails when trying to send to email. Error message is 'SMTP connection failed'.","Hardware","Desktop Support","Medium"
127,"Request for VPN client software","I am a new remote employee and need the standard corporate VPN client installed and configured on my personal laptop (Mac OS).","Account/Access","Security & Access","Low"
128,"Data mismatch between systems","The inventory count in the WMS system is different from the count in the ERP system for Item X. Suspect a sync issue or ETL problem.","Database","Database Ops","Medium"
129,"Legacy application not compatible with new OS","A critical legacy application used by the Operations team no longer functions after the recent Windows 11 upgrade. It was working on Windows 10.","Software","Application Support","High"
130,"Stuck key on laptop keyboard","The 'Shift' key on the left side of my laptop keyboard is permanently depressed/stuck, making it impossible to type normally. Need hardware repair.","Hardware","Desktop Support","Medium"
131,"Missing SQL Server login for user","User D. Smith is getting a 'Cannot open database requested by the login. The login failed' error when attempting to connect to the QA database.","Account/Access","Security & Access","Medium"
132,"High transaction log backup latency","Our transaction log backups are now taking over 30 minutes to complete, where they previously took 5 minutes. This is delaying log shipping.","Database","Database Ops","High"
133,"Slow download speeds company-wide","All users are reporting extremely slow download speeds from external websites (e.g., cloud services). Upload speeds are normal. Investigate WAN egress point.","Network","Networking","High"
134,"Outlook calendar sharing issue","I am unable to view the free/busy status for anyone in the Marketing department when scheduling a meeting in Outlook. Permissions seem correct.","Software","Application Support","Low"
135,"Faulty projector remote sensor","The projector in Conference Room 3 does not respond to the remote control unless you are standing right next to the screen. Sensor likely needs replacement.","Hardware","Desktop Support","Low"
136,"Password reset required for service account","The password for the `SVC_ETL_Process` service account expired and needs to be reset, then updated across five production servers.","Account/Access","Security & Access","High"
137,"Storage array failure alert","The monitoring system is reporting a critical failure on the primary storage array. Data access is still functional but redundant drives are offline.","Hardware","Desktop Support","Critical"
138,"Replication failure across geographically separated databases","Data is not replicating between the primary and secondary geographical data centers. This prevents disaster recovery readiness.","Database","Database Ops","Critical"
139,"Spam filter miscategorizing internal emails","Internal emails from the HR system (sent from an internal address) are being incorrectly flagged as spam and moved to the junk folder for all users.","Software","Application Support","Medium"
140,"Firewall rule blocking necessary IP range","A recently deployed firewall rule is unintentionally blocking an entire range of external partner IPs that need access to our B2B portal. Urgent rule adjustment needed.","Network","Networking","High"
141,"Need access to production VM console","Requesting temporary elevated access to the hypervisor console of the production VM for troubleshooting a kernel panic issue.","Account/Access","Security & Access","High"
142,"Error when inserting new record","Users are receiving a 'Duplicate Key' error when trying to insert a new record into the `User_Profiles` table, even though the primary key value is unique.","Database","Database Ops","Medium"
143,"Laptop overheating severely","My work laptop is extremely hot to the touch, and the fans are running at maximum speed constantly, even when only running a web browser.","Hardware","Desktop Support","Medium"
144,"Broken shortcut in Start Menu","The shortcut for the 'Sales App' in the Windows Start Menu is broken and points to an incorrect path. Needs to be corrected via GPO or script.","Software","Application Support","Low"
145,"Wi-Fi coverage dead zone in breakout area","There is a complete loss of Wi-Fi connectivity in the new employee breakout area on the 4th floor. Need to install a new access point or adjust existing coverage.","Network","Networking","Low"
146,"MFA enrollment required for new token","I purchased a new physical Yubikey and need to enroll it as my primary multi-factor authentication method for all company systems.","Account/Access","Security & Access","Low"
147,"Inaccurate inventory levels in report","The monthly inventory report pulls incorrect totals from the database. The raw data appears correct, but the report logic must be flawed.","Database","Database Ops","Medium"
148,"Scanner feeding mechanism damaged","The automatic document feeder (ADF) on the network scanner is making a grinding noise and is jamming when loading paper. Physical repair is likely required.","Hardware","Desktop Support","Medium"
149,"External printer not receiving print jobs","The external contract printer receives power and is connected to the network, but print jobs disappear from the queue without printing or error messages.","Network","Networking","Low"
150,"Adobe InDesign crashing when exporting PDF","The InDesign application crashes every time a user attempts to export a large document to PDF format. This is blocking final deliverables.","Software","Application Support","Medium"
151,"Hard drive full on desktop","My C: drive is reporting less than 1 GB of free space. I need help identifying unnecessary files or expanding the drive size.","Hardware","Desktop Support","Low"
152,"Request to revoke former consultant's access","Consultant M. Jones completed their contract yesterday. Please ensure all their account access, including VPN, email, and systems, is immediately revoked.","Account/Access","Security & Access","High"
153,"High ping to all internal resources","Latency to all internal servers is unusually high (200ms+), suggesting congestion or a routing issue within the local network core.","Network","Networking","Medium"
154,"Performance degradation after database patch","The database server experienced significant performance drop-off after the last security patch was applied two days ago. Need to review the patch impact.","Database","Database Ops","High"
155,"Screen share quality extremely poor in Zoom","When sharing my screen in Zoom meetings, the quality is pixelated and blurry for other participants, despite having a high-bandwidth connection.","Software","Application Support","Low"
156,"Keyboard spill damage","I spilled coffee on my mechanical keyboard, and many keys are now sticky or non-functional. Need a new one right away.","Hardware","Desktop Support","Medium"
157,"Need to change my primary email address","My legal name has changed. I need my primary email address updated from `oldname@company.com` to `newname@company.com`.","Account/Access","Security & Access","Medium"
158,"Network switch port constantly flapping","Switch SW-B05 port 12 is continuously transitioning between up and down states, causing instability for the connected device (a camera).","Network","Networking","Low"
159,"Data corruption reported by application","The billing application is reporting data corruption errors when loading customer records. Application engineers suspect the database storage layer.","Database","Database Ops","Critical"
160,"MS Project license key invalid","When launching Microsoft Project, I receive an error stating the product key is invalid or has expired. I am a licensed user.","Software","Application Support","Low"
161,"Faulty RAM chip detected","The system monitoring tool reported a single-bit error on a memory module in Server R-02. Need to schedule replacement of the RAM stick.","Hardware","Desktop Support","High"
162,"Two-factor code not being received via SMS","I am not receiving the SMS text message for my 2FA login code, even though I have confirmed my phone number is correct.","Account/Access","Security & Access","Medium"
163,"Internal Wi-Fi password leakage","There are reports that the current internal corporate Wi-Fi password has been shared publicly. Need an immediate password change and all devices re-authenticated.","Network","Networking","Critical"
164,"ETL process failing on memory limits","The nightly Extract, Transform, Load (ETL) job is failing every night because the server process hits configured memory limits. Need to optimize the job or increase resources.","Database","Database Ops","High"
165,"Slack desktop app won't load workspace","The Slack desktop application gets stuck on the loading screen and never connects to the workspace. The mobile app works fine.","Software","Application Support","Low"
166,"Ergonomic chair broken mechanism","The height adjustment lever on my ergonomic office chair is completely broken and the seat keeps sinking. Need an urgent repair or replacement.","Hardware","Desktop Support","Low"
167,"Shared drive showing incorrect free space","The `HR_Docs` shared network drive is reporting 500GB free space to some users, and 100GB to others. Inconsistent information needs to be resolved.","Network","Networking","Medium"
168,"Request for user group modification","Need to remove user J. Smith from the 'Dev_Team_Legacy' group as he has moved to a different department. Please confirm removal after completion.","Account/Access","Security & Access","Low"
169,"Excessive table scans detected","Database performance analysis shows a large number of expensive table scans on the main transaction table. Missing index on a frequently queried column is suspected.","Database","Database Ops","Medium"
170,"PowerShell script failing with permission error","A scheduled PowerShell script that performs nightly log rotation is now failing with an 'Access Denied' error. Service account permissions need to be checked.","Software","Application Support","Medium"
171,"Projector fan extremely loud","The cooling fan in the conference room projector is running extremely loud, making it difficult to hear presentations. Sounds like a bearing failure.","Hardware","Desktop Support","Low"
172,"Need access to external vendor portal","I need a temporary account created on the external vendor portal (portal.vendor-x.com) to upload configuration files for our upcoming project.","Account/Access","Security & Access","Medium"
173,"Network link saturation during peak hours","The main network link between the two buildings is hitting 95% utilization every day between 10 AM and 12 PM, causing major slowdowns. Need capacity increase.","Network","Networking","High"
174,"Database server crashed and won't restart","The secondary database server (DB-REPL-02) crashed and is now stuck in a non-responsive state. Need urgent investigation and recovery to restore high availability.","Database","Database Ops","Critical"
175,"Cannot install company-approved tool","I am trying to install a company-approved data analysis tool (Tableau), but the installation fails due to a blocked certificate signature.","Software","Application Support","Low"
176,"Faulty graphics card artifacting","My desktop screen is showing green and purple square artifacts, especially when running 3D applications or videos. Graphics card failure is suspected.","Hardware","Desktop Support","Medium"
177,"Two-factor recovery code lost","I lost my phone and my 2FA recovery codes. I am locked out of all systems. Need an emergency MFA reset and re-enrollment process.","Account/Access","Security & Access","Critical"
178,"Internet access completely down in entire building","All network services, both internal and external, are down for Building C. The main uplink appears to be disconnected or failed. Critical outage.","Network","Networking","Critical"
179,"Backup verification failing consistently","The weekly verification process for all database backups is failing the integrity check. This means all current backups are untrusted.","Database","Database Ops","High"
180,"Sales team CRM application freezing","The core CRM application is freezing for 10-15 seconds whenever a sales rep tries to save a new lead. This is hindering sales operations.","Software","Application Support","High"
181,"Laptop battery draining fast","My laptop battery life has suddenly dropped from 6 hours to less than 2 hours in the past week. Health checks show poor capacity.","Hardware","Desktop Support","Medium"
